asset_id,asset_type,file_name,round,question_number,question_text,answer,main_visual_clue,image_prompt,video_prompt
opening_title,title_card,opening_quiz7.png,Opening,,Guess the Movie by Emoji! 🎬🍿,,quiz show stage,"Create an original 16:9 quiz-show title card for a movie emoji quiz. Bold popcorn, film reel, movie emojis arranged dramatically. Text: GUESS THE MOVIE! Bright cinematic colors, no copied branding.",Animate dramatic title reveal.
round_01_easy,title_card,round_01_easy.png,ROUND 1: EASY MOVIES,,ROUND 1: EASY MOVIES,,ROUND 1: EASY MOVIES,"Create an original 16:9 bright 2D quiz-show round card reading ROUND 1: EASY MOVIES. Bold clean typography, original design.",Animate ROUND 1: EASY MOVIES card.
q01,question_scene,scene_q07_01_titanic.png,ROUND 1: EASY MOVIES,01,What movie is this? 🚢❄️💔,Titanic,Ship iceberg heart broken,"Create original 16:9 quiz graphic. Show large bold emojis: ship, iceberg, broken heart (🚢❄️💔) on dark cinematic background. Question: What movie is this? Answer card: Titanic. Bold readable text.","Animate question reveal, 3-second pause, answer card reading Titanic."
q02,question_scene,scene_q07_02_frozen.png,ROUND 1: EASY MOVIES,02,What movie is this? ❄️👸🏔️,Frozen,Ice crown mountain queen,"Create original 16:9 quiz graphic. Large emojis: snowflake, princess, mountain (❄️👸🏔️). Question: What movie? Answer: Frozen.","Animate question reveal, 3-second pause, answer card reading Frozen."
q03,question_scene,scene_q07_03_lion_king.png,ROUND 1: EASY MOVIES,03,What movie is this? 🦁👑🌅,The Lion King,Lion crown sunset,"Create original 16:9 quiz graphic. Large emojis: lion, crown, sunrise (🦁👑🌅). Question: What movie? Answer: The Lion King.","Animate question reveal, 3-second pause, answer card reading The Lion King."
q04,question_scene,scene_q07_04_jaws.png,ROUND 1: EASY MOVIES,04,What movie is this? 🦈🏖️😱,Jaws,Shark beach scared,"Create original 16:9 quiz graphic. Large emojis: shark, beach, scared face (🦈🏖️😱). Question: What movie? Answer: Jaws.","Animate question reveal, 3-second pause, answer card reading Jaws."
q05,question_scene,scene_q07_05_home_alone.png,ROUND 1: EASY MOVIES,05,What movie is this? 🏠😱👦,Home Alone,House scared boy,"Create original 16:9 quiz graphic. Large emojis: house, scared face, boy (🏠😱👦). Question: What movie? Answer: Home Alone.","Animate question reveal, 3-second pause, answer card reading Home Alone."
q06,question_scene,scene_q07_06_toy_story.png,ROUND 1: EASY MOVIES,06,What movie is this? 🤠🚀👾,Toy Story,Cowboy rocket alien,"Create original 16:9 quiz graphic. Large emojis: cowboy, rocket, alien (🤠🚀👾). Question: What movie? Answer: Toy Story.","Animate question reveal, 3-second pause, answer card reading Toy Story."
q07,question_scene,scene_q07_07_finding_nemo.png,ROUND 1: EASY MOVIES,07,What movie is this? 🐠🌊🔍,Finding Nemo,Fish ocean magnifying glass,"Create original 16:9 quiz graphic. Large emojis: tropical fish, waves, magnifying glass (🐠🌊🔍). Question: What movie? Answer: Finding Nemo.","Animate question reveal, 3-second pause, answer card reading Finding Nemo."
q08,question_scene,scene_q07_08_shrek.png,ROUND 1: EASY MOVIES,08,What movie is this? 🧅👹❤️,Shrek,Onion ogre love,"Create original 16:9 quiz graphic. Large emojis: onion, ogre, heart (🧅👹❤️). Question: What movie? Answer: Shrek.","Animate question reveal, 3-second pause, answer card reading Shrek."
