asset_id,asset_type,file_name,question_text,answer,question_number,round_number,prompt_hint
opening_title,title_card,opening_title.png,"Kennst du den deutschen Fußball? Das ultimative Quiz!",,,,
round_01,title_card,round_01_aufwaermen.png,"RUNDE 1: AUFWÄRMEN",,,,
q01,question_scene,scene_q01_wm2014.png,"In welchem Jahr wurde Deutschland zuletzt Fußball-Weltmeister?","2014",1,1,"Germany World Cup 2014 celebration trophy Brazil stadium cinematic"
q02,question_scene,scene_q02_beckenbauer.png,"Wie lautet der Spitzname von Franz Beckenbauer?","Der Kaiser",2,1,"Franz Beckenbauer legendary German football player portrait stadium 1970s"
q03,question_scene,scene_q03_bundesliga.png,"Welcher Klub hat die meisten Bundesliga-Meisterschaften gewonnen?","Bayern München",3,1,"Bayern Munich Allianz Arena aerial view Bundesliga champions celebration"
q04,question_scene,scene_q04_wm1954.png,"Das Wunder von Bern: In welchem Jahr gewann Deutschland seinen ersten WM-Titel?","1954",4,1,"1954 World Cup final Bern Switzerland black and white historical football"
q05,question_scene,scene_q05_klose.png,"Wer ist der Rekordtorschütze der deutschen Nationalmannschaft?","Miroslav Klose",5,1,"Miroslav Klose Germany national team goal celebration World Cup"
q06,question_scene,scene_q06_dortmund.png,"Wie lautet der offizielle Name des Stadions von Borussia Dortmund?","Signal Iduna Park",6,1,"Signal Iduna Park Dortmund packed stadium yellow black fans aerial view"
q07,question_scene,scene_q07_neuer.png,"Welcher deutsche Torwart gewann 2014 den Goldenen Handschuh bei der WM?","Manuel Neuer",7,1,"Manuel Neuer goalkeeper Germany World Cup 2014 gloves dramatic save"
q08,question_scene,scene_q08_wm1990.png,"Wo fand die WM 1990 statt, die Deutschland gewann?","Italien",8,1,"1990 World Cup Italy Rome stadium aerial view football tournament"
q09,question_scene,scene_q09_bundesliga_start.png,"In welchem Jahr wurde die Bundesliga gegründet?","1963",9,1,"1963 German Bundesliga founding historical black and white football match"
q10,question_scene,scene_q10_gerd_mueller.png,"Wie viele Tore schoss Gerd Müller bei der WM 1970?","10 Tore",10,1,"Gerd Mueller Germany 1970 World Cup Mexico goal scoring celebration vintage"
round_02,title_card,round_02_wird_schwerer.png,"RUNDE 2: WIRD SCHWERER",,,,
q11,question_scene,scene_q11_wm1974.png,"In welcher Stadt fand das WM-Finale 1974 statt?","München",11,2,"Munich 1974 World Cup final Olympic Stadium aerial view West Germany"
q12,question_scene,scene_q12_kahn.png,"Oliver Kahn spielte seine gesamte Karriere bei Bayern München — stimmt das?","Falsch",12,2,"Oliver Kahn Karlsruhe Hamburg goalkeeper career German football legend"
q13,question_scene,scene_q13_em1996.png,"Wo gewann Deutschland die Europameisterschaft 1996?","England",13,2,"Euro 1996 Wembley Stadium London England Germany European Championship"
