asset_id,asset_type,file_name,round,question_number,question_text,answer,main_visual_clue,image_prompt,video_prompt
opening_title,title_card,opening_title_50_state_challenge.png,Opening,,"Welcome to the 50-State U.S. Trivia Challenge.","","U.S. map, route lines, colorful pins","Create an original 16:9 bright 2D quiz-show title card for a U.S. trivia YouTube video. Show a full U.S. map, road-trip route lines, colorful pins, bold clean text reading 50-STATE U.S. TRIVIA CHALLENGE, saturated colors, strong contrast, mobile-readable typography, and family-friendly educational energy. Do not copy any reference channel logo, layout, fonts, watermark, thumbnail style, or brand identity.","Animate with a locked front-facing camera, subtle route-line movement, gentle title pop-in, light map pin bounce, and clean transition into the first round. Keep text readable and avoid clutter."
round_01,title_card,round_01_warm_up.png,Warm-Up,,"ROUND 1: WARM-UP","","Bright blue map background, 10 progress dots","Create an original 16:9 bright 2D quiz-show round card reading ROUND 1: WARM-UP. Use a bright blue U.S. road-trip map background, ten progress dots, route lines, state pins, bold clean typography, and a friendly start-of-game mood. Do not copy any reference channel identity.","Animate with a quick road-sign slide-in, ten progress dots appearing one by one, and a clean pop transition into Question 1."
q01,question_scene,scene_q01_grand_canyon_arizona.png,Warm-Up,1,"Which state is home to the Grand Canyon?","Arizona","Stylized canyon, desert road, state pin","Create an original 16:9 bright 2D quiz-show graphic for Question 1. Show a stylized canyon landscape, desert road, and state pin on a U.S. road-trip map background. Include the question text: Which state is home to the Grand Canyon? Include a reveal-ready answer card for Arizona. Use bold clean typography, saturated colors, strong contrast, soft UI shadows, and mobile-readable spacing. Do not copy any reference channel logo, layout, fonts, watermark, or brand identity.","Animate the route line moving southwest, question-card pop-in, 6-7 second thinking pause, answer card pop-in reading Arizona, and a progress bar update."
q02,question_scene,scene_q02_california_capital.png,Warm-Up,2,"What is the capital of California?","Sacramento","California outline, capitol dome, gold accent","Create an original 16:9 bright 2D quiz-show graphic for Question 2. Show a California state outline, capitol dome icon, gold accent, and U.S. route map background. Include the question text: What is the capital of California? Include a reveal-ready answer card for Sacramento. Use clean bold typography and strong mobile readability. No copied reference branding or layouts.","Animate a map pin landing near northern California, question-card pop-in, thinking pause, answer reveal reading Sacramento, and progress bar update."
q03,question_scene,scene_q03_mount_rushmore_south_dakota.png,Warm-Up,3,"Which state is famous for Mount Rushmore?","South Dakota","Original mountain monument-style clue, no copied photo","Create an original 16:9 bright 2D quiz-show graphic for Question 3. Show an original simplified mountain monument-style clue without copying any photo, plus a South Dakota road-trip map atmosphere. Include the question text: Which state is famous for Mount Rushmore? Include a reveal-ready answer card for South Dakota. Use bright quiz graphics and clean spacing. No copied branding or source layouts.","Animate the stone clue sliding in, thinking pause, answer card glow reading South Dakota, and route progress update."
q04,question_scene,scene_q04_sunshine_state_florida.png,Warm-Up,4,"What state is known as the Sunshine State?","Florida","Florida outline, sun, beach road","Create an original 16:9 bright 2D quiz-show graphic for Question 4. Show a Florida outline, bright sun, beach road, and U.S. map route theme. Include the question text: What state is known as the Sunshine State? Include a reveal-ready answer card for Florida. Keep text large and readable. No copied reference channel identity.","Animate a sun pulse, question-card pop-in, thinking pause, answer reveal reading Florida, and progress bar update."
q05,question_scene,scene_q05_las_vegas_nevada.png,Warm-Up,5,"Which state has the city of Las Vegas?","Nevada","Neon sign shapes, desert highway, state outline","Create an original 16:9 bright 2D quiz-show graphic for Question 5. Show neon sign shapes, desert highway, Nevada outline, and road-trip map accents. Include the question text: Which state has the city of Las Vegas? Include a reveal-ready answer card for Nevada. Use saturated colors and clean mobile-readable typography. No copied branding or layouts.","Animate soft neon flicker, thinking pause, answer reveal reading Nevada, and progress bar update."
q06,question_scene,scene_q06_texas_capital_austin.png,Warm-Up,6,"What is the capital of Texas?","Austin","Texas outline, capitol dome, guitar icon","Create an original 16:9 bright 2D quiz-show graphic for Question 6. Show a Texas outline, capitol dome, guitar icon, and route-line map background. Include the question text: What is the capital of Texas? Include a reveal-ready answer card for Austin. Keep strong contrast and clean spacing. No copied channel identity.","Animate a star marker landing on Austin, thinking pause, answer reveal reading Austin, and progress bar update."
q07,question_scene,scene_q07_statue_liberty_new_york.png,Warm-Up,7,"Which state is known for the Statue of Liberty?","New York","Liberty torch icon, harbor skyline, state pin","Create an original 16:9 bright 2D quiz-show graphic for Question 7. Show a simplified liberty torch icon, harbor skyline, New York state pin, and road-trip map background. Include the question text: Which state is known for the Statue of Liberty? Include a reveal-ready answer card for New York. Do not use copyrighted photos or copied layouts.","Animate a torch glow, thinking pause, answer card slide-in reading New York, and progress bar update."
q08,question_scene,scene_q08_nashville_tennessee.png,Warm-Up,8,"What state is famous for the city of Nashville?","Tennessee","Guitar, music notes, Tennessee outline","Create an original 16:9 bright 2D quiz-show graphic for Question 8. Show a guitar, music notes, Tennessee outline, and U.S. route map background. Include the question text: What state is famous for the city of Nashville? Include a reveal-ready answer card for Tennessee. Use bold readable type and bright colors. No copied reference style.","Animate music notes drifting upward, thinking pause, answer reveal reading Tennessee, and progress bar update."
q09,question_scene,scene_q09_yellowstone_wyoming.png,Warm-Up,9,"Which state is home to Yellowstone National Park?","Wyoming","Geyser, mountain park, route marker","Create an original 16:9 bright 2D quiz-show graphic for Question 9. Show a geyser, mountain park scene, route marker, and U.S. map background. Include the question text: Which state is home to Yellowstone National Park? Include a reveal-ready answer card for Wyoming. Use clean original quiz graphics. No copied branding.","Animate subtle geyser steam, thinking pause, answer reveal reading Wyoming, and progress bar update."
