asset_id,asset_type,file_name,round,question_number,question_text,answer,main_visual_clue,stat_pct,image_prompt
opening_title,title_card,opening_title.png,Opening,,Food & Cuisine by Country!,,,,dramatic assortment of world cuisine dishes arranged on dark table steam rising warm lighting cinematic wide shot no text no words no letters
wyr_header,title_card,wyr_header.png,WarmUp,,WARM-UP: WOULD YOU RATHER?,,,,dark cozy kitchen countertop with cutting board and scattered ingredients warm lighting cinematic wide shot no text no words no letters
w01,wyr_scene,,WarmUp,1,Pizza or Tacos?,,🍕|🌮,58,
w02,wyr_scene,,WarmUp,2,Sushi or Burgers?,,🍣|🍔,52,
w03,wyr_scene,,WarmUp,3,Ice Cream or Cake?,,🍦|🎂,61,
w04,wyr_scene,,WarmUp,4,Ramen or Pasta?,,🍜|🍝,55,
w05,wyr_scene,,WarmUp,5,Curry or BBQ?,,🍛|🍖,49,
w06,wyr_scene,,WarmUp,6,Donuts or Croissants?,,🍩|🥐,63,
w07,wyr_scene,,WarmUp,7,Fried Chicken or Steak?,,🍗|🥩,57,
w08,wyr_scene,,WarmUp,8,Pancakes or Waffles?,,🥞|🧇,66,
w09,wyr_scene,,WarmUp,9,Chocolate or Cheese?,,🍫|🧀,54,
w10,wyr_scene,,WarmUp,10,Coffee or Bubble Tea?,,☕|🧋,71,
transition,title_card,transition.png,Transition,,"Warm-up done! Now let's test your REAL food knowledge...",,,,warm inviting restaurant kitchen pass window glowing golden light steam rising cinematic wide shot no text no words no letters
round_01,title_card,round_01_easy.png,ROUND 1,,ROUND 1: EASY CLASSICS,,,,bright colorful spice market stall overflowing with vibrant spices and herbs cinematic wide shot no text no words no letters
q01,question_scene,scene_q01.png,1,1,Which country is this dish from?,Italy,,,delicious margherita pizza on wooden board melted cheese fresh basil rustic Italian kitchen appetizing food photography no text no words
q02,question_scene,scene_q02.png,1,2,Which country is this dish from?,Japan,,,elegant sushi platter with fresh salmon and tuna nigiri wooden board minimalist Japanese aesthetic appetizing food photography no text no words
q03,question_scene,scene_q03.png,1,3,Which country is this dish from?,Mexico,,,colorful street tacos with fresh cilantro lime and salsa vibrant Mexican market appetizing food photography no text no words
q04,question_scene,scene_q04.png,1,4,Which country is this dish from?,France,,,golden flaky croissants on rustic table with coffee Parisian cafe morning light appetizing food photography no text no words
q05,question_scene,scene_q05.png,1,5,Which country is this dish from?,India,,,rich colorful curry with steaming rice and naan bread vibrant spices Indian restaurant appetizing food photography no text no words
q06,question_scene,scene_q06.png,1,6,Which country is this dish from?,China,,,steaming dumplings in bamboo basket traditional Chinese kitchen appetizing food photography no text no words
q07,question_scene,scene_q07.png,1,7,Which country is this dish from?,Thailand,,,vibrant pad thai noodles with shrimp lime and peanuts Thai street food stall appetizing food photography no text no words
q08,question_scene,scene_q08.png,1,8,Which country is this dish from?,Greece,,,fresh Greek salad with feta cheese olives Mediterranean seaside table appetizing food photography no text no words
q09,question_scene,scene_q09.png,1,9,Which country is this dish from?,Germany,,,golden pretzel with mustard on wooden board traditional German beer hall appetizing food photography no text no words
q10,question_scene,scene_q10.png,1,10,Which country is this dish from?,Spain,,,colorful paella with saffron rice seafood large pan Spanish coastal restaurant appetizing food photography no text no words
round_02,title_card,round_02_medium.png,ROUND 2,,ROUND 2: GETTING HARDER,,,,busy night market food stalls glowing lanterns steam rising cinematic wide shot no text no words no letters
q11,question_scene,scene_q11.png,2,11,Which country is this dish from?,South Korea,,,sizzling Korean BBQ on tabletop grill banchan side dishes appetizing food photography no text no words
q12,question_scene,scene_q12.png,2,12,Which country is this dish from?,Vietnam,,,steaming bowl of pho with fresh herbs and lime Vietnamese street stall appetizing food photography no text no words
q13,question_scene,scene_q13.png,2,13,Which country is this dish from?,Brazil,,,grilled meat skewers churrasco Brazilian steakhouse appetizing food photography no text no words
q14,question_scene,scene_q14.png,2,14,Which country is this dish from?,Lebanon,,,colorful hummus platter with pita bread and olive oil Middle Eastern spread appetizing food photography no text no words
q15,question_scene,scene_q15.png,2,15,Which country is this dish from?,Turkey,,,golden kebabs on skewers with grilled vegetables Turkish restaurant appetizing food photography no text no words
