asset_id,asset_type,file_name,round,question_number,question_text,answer,main_visual_clue,image_prompt,video_prompt
opening_title,title_card,opening_title_quiz6.png,Opening,,Guess the Country by its Flag! 🌍,,dramatic quiz show stage,"Create an original 16:9 quiz-show title card for a world flags quiz. Colorful flags of the world arranged dramatically, bold text GUESS THE FLAG, globe motif, bright saturated colors, no copied branding.",Animate with dramatic title reveal and energy.
round_01_easy,title_card,round_01_easy.png,ROUND 1: EASY FLAGS,,ROUND 1: EASY FLAGS,,ROUND 1: EASY FLAGS background,"Create an original 16:9 bright 2D quiz-show round card reading ROUND 1: EASY FLAGS. Bold clean typography, original design, no copied branding.",Animate ROUND 1: EASY FLAGS card slide-in.
q01,question_scene,scene_q06_01_usa.png,ROUND 1: EASY FLAGS,01,Which country does this flag belong to?,United States 🇺🇸,Red white blue stripes and stars,"Create an original 16:9 quiz graphic. Show a large bold flat illustration of the UNITED STATES FLAG (red and white stripes, blue canton with 50 white stars) centered on dark background. Question: Which country does this flag belong to? Answer card: United States. Bold readable text, original design.","Animate question reveal, 3-second thinking pause, answer card pop-in reading United States 🇺🇸."
q02,question_scene,scene_q06_02_japan.png,ROUND 1: EASY FLAGS,02,Which country does this flag belong to?,Japan 🇯🇵,White flag with red circle,"Create an original 16:9 quiz graphic. Show the JAPAN FLAG (white background, single red circle centered) large and bold. Question: Which country? Answer: Japan. Clean minimal design.","Animate question reveal, 3-second thinking pause, answer card pop-in reading Japan 🇯🇵."
q03,question_scene,scene_q06_03_canada.png,ROUND 1: EASY FLAGS,03,Which country does this flag belong to?,Canada 🇨🇦,Red maple leaf flag,"Create an original 16:9 quiz graphic. Show the CANADA FLAG (red-white-red vertical bands, red maple leaf center) large and bold. Question: Which country? Answer: Canada.","Animate question reveal, 3-second thinking pause, answer card pop-in reading Canada 🇨🇦."
q04,question_scene,scene_q06_04_uk.png,ROUND 1: EASY FLAGS,04,Which country does this flag belong to?,United Kingdom 🇬🇧,Union Jack blue red cross flag,"Create an original 16:9 quiz graphic. Show the UK UNION JACK FLAG (blue background, red and white cross and diagonal cross) large and bold. Question: Which country? Answer: United Kingdom.","Animate question reveal, 3-second thinking pause, answer card pop-in reading United Kingdom 🇬🇧."
q05,question_scene,scene_q06_05_brazil.png,ROUND 1: EASY FLAGS,05,Which country does this flag belong to?,Brazil 🇧🇷,Green flag with yellow diamond and blue globe,"Create an original 16:9 quiz graphic. Show the BRAZIL FLAG (green background, yellow diamond, blue circle with stars and band) large and bold. Question: Which country? Answer: Brazil.","Animate question reveal, 3-second thinking pause, answer card pop-in reading Brazil 🇧🇷."
q06,question_scene,scene_q06_06_australia.png,ROUND 1: EASY FLAGS,06,Which country does this flag belong to?,Australia 🇦🇺,Blue flag with Union Jack and Southern Cross stars,"Create an original 16:9 quiz graphic. Show the AUSTRALIA FLAG (blue background, Union Jack top left, Southern Cross stars, Commonwealth star) large and bold. Question: Which country? Answer: Australia.","Animate question reveal, 3-second thinking pause, answer card pop-in reading Australia 🇦🇺."
q07,question_scene,scene_q06_07_france.png,ROUND 1: EASY FLAGS,07,Which country does this flag belong to?,France 🇫🇷,Blue white red vertical tricolor,"Create an original 16:9 quiz graphic. Show the FRANCE FLAG (blue, white, red vertical bands) large and bold. Question: Which country? Answer: France.","Animate question reveal, 3-second thinking pause, answer card pop-in reading France 🇫🇷."
q08,question_scene,scene_q06_08_germany.png,ROUND 1: EASY FLAGS,08,Which country does this flag belong to?,Germany 🇩🇪,Black red gold horizontal tricolor,"Create an original 16:9 quiz graphic. Show the GERMANY FLAG (black, red, gold horizontal bands) large and bold. Question: Which country? Answer: Germany.","Animate question reveal, 3-second thinking pause, answer card pop-in reading Germany 🇩🇪."
q09,question_scene,scene_q06_09_china.png,ROUND 1: EASY FLAGS,09,Which country does this flag belong to?,China 🇨🇳,Red flag with yellow stars,"Create an original 16:9 quiz graphic. Show the CHINA FLAG (red background, large yellow star with four smaller yellow stars) large and bold. Question: Which country? Answer: China.","Animate question reveal, 3-second thinking pause, answer card pop-in reading China 🇨🇳."
q10,question_scene,scene_q06_10_india.png,ROUND 1: EASY FLAGS,10,Which country does this flag belong to?,India 🇮🇳,Orange white green with blue wheel,"Create an original 16:9 quiz graphic. Show the INDIA FLAG (saffron, white, green horizontal bands, blue Ashoka Chakra wheel in center) large and bold. Question: Which country? Answer: India.","Animate question reveal, 3-second thinking pause, answer card pop-in reading India 🇮🇳."
