asset_id,asset_type,file_name,round,question_number,question_text,answer,main_visual_clue,stat_pct,image_prompt
opening_title,title_card,opening_quiz17.png,Opening,,Guess the Video Game by Emoji! 🎮🕹️,,game controller emojis,,
wyr_header,title_card,wyr_header.png,WarmUp,,WARM-UP: WOULD YOU RATHER?,,,,
w01,wyr_scene,,WarmUp,1,Xbox or PlayStation?,,🎮|🕹️,54,
w02,wyr_scene,,WarmUp,2,Mobile Gaming or Console Gaming?,,📱|🎮,62,
w03,wyr_scene,,WarmUp,3,Single Player or Multiplayer?,,🧍|👥,58,
w04,wyr_scene,,WarmUp,4,Story Mode or Battle Royale?,,📖|⚔️,53,
w05,wyr_scene,,WarmUp,5,Racing Games or Sports Games?,,🏎️|🏀,60,
w06,wyr_scene,,WarmUp,6,Horror Games or Puzzle Games?,,👻|🧩,55,
w07,wyr_scene,,WarmUp,7,New Releases or Classic Games?,,🆕|🕹️,51,
w08,wyr_scene,,WarmUp,8,Keyboard & Mouse or Controller?,,⌨️|🎮,64,
w09,wyr_scene,,WarmUp,9,Speedrun or 100% Completion?,,⏱️|💯,57,
w10,wyr_scene,,WarmUp,10,Cutscenes or Skip Button?,,🎬|⏭️,68,
transition,title_card,transition.png,Transition,,Warm-up done! Now let's test your REAL gaming knowledge!,,,,
round_01,title_card,round_01_easy.png,ROUND 1,,ROUND 1: EASY,,,,
q01,question_scene,scene_q01.png,1,1,What video game is this?,Minecraft,⛏️🟫,,
q02,question_scene,scene_q02.png,1,2,What video game is this?,Fortnite,🏝️🪂,,
q03,question_scene,scene_q03.png,1,3,What video game is this?,Among Us,🫘🔪,,
q04,question_scene,scene_q04.png,1,4,What video game is this?,Super Mario Bros,🍄👨,,
q05,question_scene,scene_q05.png,1,5,What video game is this?,Pac-Man,🟡👻,,
q06,question_scene,scene_q06.png,1,6,What video game is this?,Tetris,🧱⬇️,,
q07,question_scene,scene_q07.png,1,7,What video game is this?,Angry Birds,🐦🐷,,
q08,question_scene,scene_q08.png,1,8,What video game is this?,Candy Crush,🍬💥,,
q09,question_scene,scene_q09.png,1,9,What video game is this?,Call of Duty,🔫🎖️,,
q10,question_scene,scene_q10.png,1,10,What video game is this?,Grand Theft Auto,🚗👮,,
round_02,title_card,round_02_medium.png,ROUND 2,,ROUND 2: GETTING HARDER,,,,
q11,question_scene,scene_q11.png,2,11,What video game is this?,The Legend of Zelda,🗡️🛡️,,
q12,question_scene,scene_q12.png,2,12,What video game is this?,Pokemon Go,⚡📱,,
q13,question_scene,scene_q13.png,2,13,What video game is this?,Roblox,🟥👾,,
q14,question_scene,scene_q14.png,2,14,What video game is this?,Flappy Bird,🐦🟩,,
q15,question_scene,scene_q15.png,2,15,What video game is this?,Subway Surfers,🚇🏃,,
q16,question_scene,scene_q16.png,2,16,What video game is this?,Temple Run,🏃🗿,,
q17,question_scene,scene_q17.png,2,17,What video game is this?,Clash of Clans,⚔️🏰,,
q18,question_scene,scene_q18.png,2,18,What video game is this?,Clash Royale,👑⚔️,,
q19,question_scene,scene_q19.png,2,19,What video game is this?,FIFA,⚽🏆,,
q20,question_scene,scene_q20.png,2,20,What video game is this?,Madden NFL,🏈🏆,,
round_03,title_card,round_03_expert.png,ROUND 3,,ROUND 3: EXPERT LEVEL,,,,
q21,question_scene,scene_q21.png,3,21,What video game is this?,NBA 2K,🏀🏆,,
q22,question_scene,scene_q22.png,3,22,What video game is this?,World of Warcraft,🗡️🐉,,
q23,question_scene,scene_q23.png,3,23,What video game is this?,Overwatch,🛡️⏱️,,
q24,question_scene,scene_q24.png,3,24,What video game is this?,League of Legends,⚔️🧙,,
q25,question_scene,scene_q25.png,3,25,What video game is this?,Street Fighter,👊🥋,,
q26,question_scene,scene_q26.png,3,26,What video game is this?,Mortal Kombat,💀👊,,
q27,question_scene,scene_q27.png,3,27,What video game is this?,Sonic the Hedgehog,💙🦔,,
q28,question_scene,scene_q28.png,3,28,What video game is this?,Crash Bandicoot,📦🦝,,
q29,question_scene,scene_q29.png,3,29,What video game is this?,Space Invaders,👾🚀,,
q30,question_scene,scene_q30.png,3,30,What video game is this?,Doom,😈🔫,,
round_04,title_card,round_04_final.png,ROUND 4,,ROUND 4: FINAL CHALLENGE,,,,
q31,question_scene,scene_q31.png,4,31,What video game is this?,Halo,💍🪖,,
q32,question_scene,scene_q32.png,4,32,What video game is this?,Assassin's Creed,🗡️🦅,,
q33,question_scene,scene_q33.png,4,33,What video game is this?,Red Dead Redemption,🤠🐎,,
q34,question_scene,scene_q34.png,4,34,What video game is this?,Animal Crossing,🏝️🦝,,
q35,question_scene,scene_q35.png,4,35,What video game is this?,Stardew Valley,🚜🌾,,
outro,outro,outro_quiz17.png,Outro,,How many did you get right?,,,,
end_screen,outro,end_screen_quiz17.png,End,,Subscribe for more Gaming Quizzes!,,,,
