asset_id,asset_type,file_name,question_text,answer,question_number,round_number,prompt_hint
opening_title,title_card,opening_title.png,"Can You Name the Movie From Just One Scene?",,,,
round_01,title_card,round_01_easy_classics.png,"ROUND 1: EASY CLASSICS",,,,
q01,question_scene,scene_q01_titanic.png,"Guess the movie from this scene","Titanic",1,1,"couple standing at bow of large ocean liner ship arms outstretched wind sunset romantic cinematic wide shot no text no people faces"
q02,question_scene,scene_q02_jurassic_park.png,"Guess the movie from this scene","Jurassic Park",2,1,"tropical island jungle with towering dinosaur silhouette in misty rainforest cinematic wide shot no text"
q03,question_scene,scene_q03_wizard_of_oz.png,"Guess the movie from this scene","The Wizard of Oz",3,1,"yellow brick road winding through colorful fantasy countryside toward emerald city cinematic wide shot no text"
q04,question_scene,scene_q04_star_wars.png,"Guess the movie from this scene","Star Wars",4,1,"desert twin suns setting over sandy dunes distant planet landscape cinematic wide shot no text"
q05,question_scene,scene_q05_home_alone.png,"Guess the movie from this scene","Home Alone",5,1,"cozy suburban house decorated for Christmas snow falling porch lights glowing cinematic wide shot no text no people"
q06,question_scene,scene_q06_finding_nemo.png,"Guess the movie from this scene","Finding Nemo",6,1,"vibrant coral reef underwater scene tropical fish colorful anemones cinematic wide shot no text"
q07,question_scene,scene_q07_jaws.png,"Guess the movie from this scene","Jaws",7,1,"ocean surface with shark fin cutting through water beach in background cinematic wide shot no text"
q08,question_scene,scene_q08_the_matrix.png,"Guess the movie from this scene","The Matrix",8,1,"green digital code rain falling dark background futuristic cinematic wide shot no text"
q09,question_scene,scene_q09_forrest_gump.png,"Guess the movie from this scene","Forrest Gump",9,1,"long empty road stretching through countryside bench beside it cinematic wide shot no text no people"
q10,question_scene,scene_q10_the_lion_king.png,"Guess the movie from this scene","The Lion King",10,1,"African savanna sunrise tall rock formation overlooking golden grasslands cinematic wide shot no text"
round_02,title_card,round_02_getting_harder.png,"ROUND 2: GETTING HARDER",,,,
q11,question_scene,scene_q11_inception.png,"Guess the movie from this scene","Inception",11,2,"city street folding upward into itself impossible architecture dreamlike cinematic wide shot no text"
q12,question_scene,scene_q12_the_shining.png,"Guess the movie from this scene","The Shining",12,2,"eerie empty hotel hallway red patterned carpet symmetrical corridor cinematic wide shot no text no people"
q13,question_scene,scene_q13_back_to_future.png,"Guess the movie from this scene","Back to the Future",13,2,"silver sports car with glowing wheel trails on suburban street at night cinematic wide shot no text"
q14,question_scene,scene_q14_e_t.png,"Guess the movie from this scene","E.T.",14,2,"bicycle silhouette flying across full moon night sky cinematic wide shot no text no people"
q15,question_scene,scene_q15_jurassic_world.png,"Guess the movie from this scene","Jurassic World",15,2,"modern theme park entrance gate with tropical jungle backdrop cinematic wide shot no text"
q16,question_scene,scene_q16_the_avengers.png,"Guess the movie from this scene","The Avengers",16,2,"New York city skyline with portal opening in sky superhero battle aftermath cinematic wide shot no text no people"
