asset_id,asset_type,file_name,round,question_number,question_text,answer,main_visual_clue,image_prompt,video_prompt
opening_title,title_card,opening_quiz11.png,Opening,,Guess the Fast Food Chain by Emoji! 🍔🍟🌮,,fast food emojis,,Animate title reveal.
round_01,title_card,round_01_easy.png,ROUND 1: EASY,,ROUND 1: EASY,,,,
q01,question_scene,scene_q01.png,1,1,What fast food chain is this?,McDonald's,🍔🍟🤡,,
q02,question_scene,scene_q02.png,1,2,What fast food chain is this?,KFC,🍗🪣,,
q03,question_scene,scene_q03.png,1,3,What fast food chain is this?,Pizza Hut,🍕🛖,,
q04,question_scene,scene_q04.png,1,4,What fast food chain is this?,Subway,🥪🚇,,
q05,question_scene,scene_q05.png,1,5,What fast food chain is this?,Starbucks,☕🧜,,
q06,question_scene,scene_q06.png,1,6,What fast food chain is this?,Burger King,👑🍔,,
q07,question_scene,scene_q07.png,1,7,What fast food chain is this?,Taco Bell,🌮🔔,,
q08,question_scene,scene_q08.png,1,8,What fast food chain is this?,Dunkin',🍩☕,,
q09,question_scene,scene_q09.png,1,9,What fast food chain is this?,Domino's,🍕🎲,,
q10,question_scene,scene_q10.png,1,10,What fast food chain is this?,Chick-fil-A,🐔🅰️,,
round_02,title_card,round_02_medium.png,ROUND 2: GETTING HARDER,,ROUND 2: GETTING HARDER,,,,
q11,question_scene,scene_q11.png,2,11,What fast food chain is this?,Wendy's,🍔🔴👧,,
q12,question_scene,scene_q12.png,2,12,What fast food chain is this?,Popeyes,🍗⚓,,
q13,question_scene,scene_q13.png,2,13,What fast food chain is this?,Panda Express,🐼🥡,,
q14,question_scene,scene_q14.png,2,14,What fast food chain is this?,Chipotle,🌯🌶️,,
q15,question_scene,scene_q15.png,2,15,What fast food chain is this?,Dairy Queen,🍦👸,,
q16,question_scene,scene_q16.png,2,16,What fast food chain is this?,Sonic,🚗🎤,,
q17,question_scene,scene_q17.png,2,17,What fast food chain is this?,Arby's,🥪🤠,,
q18,question_scene,scene_q18.png,2,18,What fast food chain is this?,Panera Bread,🥖🐻,,
q19,question_scene,scene_q19.png,2,19,What fast food chain is this?,Five Guys,✋👦🍔,,
q20,question_scene,scene_q20.png,2,20,What fast food chain is this?,In-N-Out,🍔↔️,,
round_03,title_card,round_03_expert.png,ROUND 3: EXPERT LEVEL,,ROUND 3: EXPERT LEVEL,,,,
q21,question_scene,scene_q21.png,3,21,What fast food chain is this?,Jack in the Box,📦🤡,,
q22,question_scene,scene_q22.png,3,22,What fast food chain is this?,Whataburger,🍔🟠,,
q23,question_scene,scene_q23.png,3,23,What fast food chain is this?,Culver's,🍦🧈,,
q24,question_scene,scene_q24.png,3,24,What fast food chain is this?,Raising Cane's,🐓🐕,,
q25,question_scene,scene_q25.png,3,25,What fast food chain is this?,Zaxby's,🍗⭐,,
q26,question_scene,scene_q26.png,3,26,What fast food chain is this?,Bojangles,🍗🎩,,
q27,question_scene,scene_q27.png,3,27,What fast food chain is this?,Krystal,🍔🔷,,
q28,question_scene,scene_q28.png,3,28,What fast food chain is this?,White Castle,🏰🍔,,
q29,question_scene,scene_q29.png,3,29,What fast food chain is this?,Carl's Jr,⭐🍔,,
q30,question_scene,scene_q30.png,3,30,What fast food chain is this?,Church's Chicken,⛪🍗,,
round_04,title_card,round_04_final.png,ROUND 4: FINAL CHALLENGE,,ROUND 4: FINAL CHALLENGE,,,,
q31,question_scene,scene_q31.png,4,31,What fast food chain is this?,Del Taco,🌮🐂,,
q32,question_scene,scene_q32.png,4,32,What fast food chain is this?,Long John Silver's,🐟⚓,,
q33,question_scene,scene_q33.png,4,33,What fast food chain is this?,Checkers,🏁🍔,,
q34,question_scene,scene_q34.png,4,34,What fast food chain is this?,Hardee's,⭐🍔,,
q35,question_scene,scene_q35.png,4,35,What fast food chain is this?,Wingstop,🍗🛑,,
outro,outro,outro_quiz11.png,Outro,,How many did you get right?,,,,
end_screen,outro,end_screen_quiz11.png,End,,Subscribe for more quizzes!,,,,
