asset_id,asset_type,file_name,round,question_number,question_text,answer,main_visual_clue,image_prompt,video_prompt
opening_title,title_card,opening_quiz8.png,Opening,,Guess the Brand by Emoji! 🍎👻🎵,,brand emojis,,Animate title reveal.
round_01,title_card,round_01_easy.png,ROUND 1: EASY,,ROUND 1: EASY,,,,
q01,question_scene,scene_q08_01_apple.png,ROUND 1: EASY,1,What brand is this? 🍎,Apple,Apple emoji,,"Animate emoji reveal, 3-second pause, answer reading Apple."
q02,question_scene,scene_q08_02_snapchat.png,ROUND 1: EASY,2,What brand is this? 👻,Snapchat,Snapchat emoji,,"Animate emoji reveal, 3-second pause, answer reading Snapchat."
q03,question_scene,scene_q08_03_twitter___x.png,ROUND 1: EASY,3,What brand is this? 🐦,Twitter / X,Twitter / X emoji,,"Animate emoji reveal, 3-second pause, answer reading Twitter / X."
q04,question_scene,scene_q08_04_mcdonalds.png,ROUND 1: EASY,4,What brand is this? 🍟🤡,McDonald's,McDonald's emoji,,"Animate emoji reveal, 3-second pause, answer reading McDonald's."
q05,question_scene,scene_q08_05_youtube.png,ROUND 1: EASY,5,What brand is this? 📺▶️,YouTube,YouTube emoji,,"Animate emoji reveal, 3-second pause, answer reading YouTube."
q06,question_scene,scene_q08_06_whatsapp.png,ROUND 1: EASY,6,What brand is this? 💬📞,WhatsApp,WhatsApp emoji,,"Animate emoji reveal, 3-second pause, answer reading WhatsApp."
q07,question_scene,scene_q08_07_spotify.png,ROUND 1: EASY,7,What brand is this? 🎵🟢,Spotify,Spotify emoji,,"Animate emoji reveal, 3-second pause, answer reading Spotify."
q08,question_scene,scene_q08_08_netflix.png,ROUND 1: EASY,8,What brand is this? 🎬🔴,Netflix,Netflix emoji,,"Animate emoji reveal, 3-second pause, answer reading Netflix."
q09,question_scene,scene_q08_09_instagram.png,ROUND 1: EASY,9,What brand is this? 📷🌈,Instagram,Instagram emoji,,"Animate emoji reveal, 3-second pause, answer reading Instagram."
q10,question_scene,scene_q08_10_airbnb.png,ROUND 1: EASY,10,What brand is this? 🏠🛏️,Airbnb,Airbnb emoji,,"Animate emoji reveal, 3-second pause, answer reading Airbnb."
round_02,title_card,round_02_medium.png,ROUND 2: MEDIUM,,ROUND 2: MEDIUM,,,,
q11,question_scene,scene_q08_11_shell.png,ROUND 2: MEDIUM,11,What brand is this? 🐚⛽,Shell,Shell emoji,,"Animate emoji reveal, 3-second pause, answer reading Shell."
q12,question_scene,scene_q08_12_starbucks.png,ROUND 2: MEDIUM,12,What brand is this? ☕🧜,Starbucks,Starbucks emoji,,"Animate emoji reveal, 3-second pause, answer reading Starbucks."
q13,question_scene,scene_q08_13_twitch.png,ROUND 2: MEDIUM,13,What brand is this? 🎮💜,Twitch,Twitch emoji,,"Animate emoji reveal, 3-second pause, answer reading Twitch."
q14,question_scene,scene_q08_14_amazon.png,ROUND 2: MEDIUM,14,What brand is this? 📦😊,Amazon,Amazon emoji,,"Animate emoji reveal, 3-second pause, answer reading Amazon."
q15,question_scene,scene_q08_15_paypal.png,ROUND 2: MEDIUM,15,What brand is this? 💳🅿️,PayPal,PayPal emoji,,"Animate emoji reveal, 3-second pause, answer reading PayPal."
q16,question_scene,scene_q08_16_burger_king.png,ROUND 2: MEDIUM,16,What brand is this? 🍔👑,Burger King,Burger King emoji,,"Animate emoji reveal, 3-second pause, answer reading Burger King."
